TimeGenerated,RemoteIP,AccountName,DeviceName,ActionType,LogonType
"Sep 1, 2026 8:14:25 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 8:21:13 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 8:21:13 PM",10.0.8.4,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 1, 2026 8:21:14 PM",-,umfd-2,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 8:21:14 PM",,umfd-2,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 8:21:14 PM",-,dwm-2,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 8:21:14 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 8:21:14 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 1, 2026 8:21:15 PM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 8:21:15 PM",10.0.8.4,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 1, 2026 8:21:15 PM",10.0.8.4,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 1, 2026 11:08:01 PM",80.66.83.80,test,sql-labuser,LogonFailed,Network
"Sep 1, 2026 11:44:32 PM",94.125.9.70,test,sql-labuser,LogonFailed,Network
"Sep 1, 2026 11:54:50 PM",163.223.18.58,admin,sql-labuser,LogonFailed,Network
"Sep 1, 2026 11:55:52 PM",163.223.18.58,user,sql-labuser,LogonFailed,Network
